cell_type,gene,log2FoldChange,padj,significant
B-cell,IGHD,-1.202,7.270926098727514e-09,True
B-cell,FCER2,-1.221,1.5529159023836328e-07,True
B-cell,IGHM,-1.087,3.425988822039722e-07,True
B-cell,TCL1A,-1.698,6.188627645879086e-05,True
B-cell,HLA-DQA2,-2.69,7.966563817019009e-05,True
Dendritic,HLA-DQA2,-3.477,3.0611659258414626e-05,True
Dendritic,AC020656.1,-2.252,0.0102800500038207,True
Dendritic,TNFAIP3,2.715,0.0200178700415751,True
Dendritic,ZNF331,3.629,0.0208527735136775,True
Dendritic,HLA-A,1.156,0.0413985011154642,True
Monocytes - CD14,HLA-DQA2,-4.731,8.332612799202414e-07,True
Monocytes - CD14,HLA-DMB,-0.804,0.0001088111233306,False
Monocytes - CD14,CD74,-0.611,0.0013110601839763,False
Monocytes - CD14,HLA-DPB1,-0.732,0.0079040553154034,False
Monocytes - CD14,HLA-DPA1,-0.591,0.0194447845145262,False
Monocytes - CD14,HLA-DRA,-0.447,0.0356169907290861,False
Monocytes - CD14,HLA-DQA1,-0.559,0.2829624784488744,False
