gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,timepoint,n_CCS,n_ACS
AL669831.5,1.966995120632977,0.37264771803992375,0.3892932966591859,0.9572415483078949,0.3384453504950269,,TP1M,14,14
FAM41C,0.8401839461355654,-0.20732381318041923,0.6275612015245464,-0.33036429383582594,0.7411247177543716,,TP1M,14,14
NOC2L,4.421070729933581,-0.030497101948223134,0.2703957017662811,-0.11278693318351478,0.9101994780450645,,TP1M,14,14
HES4,1.2210859191341885,1.33554812470019,0.6601774027451918,2.0230139946423926,0.04307170469068327,,TP1M,14,14
ISG15,10.8834243057296,0.5405779874850002,0.2977274552668287,1.8156806768140492,0.06941936987686961,0.3752529574462952,TP1M,14,14
C1orf159,0.7220195616604773,0.0797787293930241,0.6457823835784057,0.12353810110296702,0.9016810050353029,,TP1M,14,14
TNFRSF18,1.0023342638017243,0.09382385519682597,0.6755123795948453,0.1388928730708075,0.8895348028461235,,TP1M,14,14
SDF4,5.570894520429965,0.1339504151674728,0.24972945083039644,0.536382131631103,0.591694478038371,0.8724203866696767,TP1M,14,14
B3GALT6,1.3723027088255269,-0.3467486833918548,0.4770444503750984,-0.7268687081868523,0.4673063879216306,,TP1M,14,14
UBE2J2,5.009135480171337,-0.021425409438224532,0.24092044721212708,-0.08893146964549571,0.9291363734698305,0.9848930410678732,TP1M,14,14
ACAP3,1.3185462953192215,0.9577749560021942,0.4875788924714041,1.964348684471337,0.0494896694455928,,TP1M,14,14
INTS11,3.2472644385431386,-0.5757543405037024,0.3237314403874795,-1.7784937410298263,0.07532279900323346,,TP1M,14,14
CPTP,1.0301973625342709,0.28316751480634833,0.591931341304316,0.47837898595197026,0.6323804875196193,,TP1M,14,14
AURKAIP1,11.97297015411243,-0.01944428746761096,0.17973727691543226,-0.108181718346382,0.9138515464851232,0.9840410023926094,TP1M,14,14
CCNL2,6.802949144054094,-0.07276314768201929,0.2364100584521063,-0.3077836372886824,0.7582469731464099,0.9336356670430188,TP1M,14,14
MRPL20,10.845173932364101,0.30013626346077305,0.1905353346338446,1.5752262646587347,0.11520422675762026,0.4794232424422098,TP1M,14,14
ATAD3B,1.1039653910028664,0.13539663858766623,0.5319763871882179,0.25451625645136333,0.7990967466769784,,TP1M,14,14
SSU72,14.402026925564156,-0.07326908370484152,0.16509079686294192,-0.443810830749514,0.6571793572044116,0.8916265708052774,TP1M,14,14
AL645728.1,1.1529781745038545,0.03204572149677638,0.5111797254760754,0.06268973493995941,0.950013571647376,,TP1M,14,14
MIB2,3.6514912915538438,0.2348162511357678,0.3083012851801075,0.7616453852879326,0.4462716794861228,,TP1M,14,14
CDK11B,3.921487054592979,0.09389455014873976,0.29185403267846466,0.3217175013380175,0.7476667180378946,,TP1M,14,14
SLC35E2B,1.4077157637015716,-0.5720668297604505,0.49320923218464435,-1.1598867020929648,0.24609493755839928,,TP1M,14,14
CDK11A,6.096120378308086,-0.19659801522772122,0.3154100063552662,-0.6233093791142454,0.5330812355679204,0.8487287752560136,TP1M,14,14
SLC35E2A,1.0972379437709536,0.291387396640616,0.5498203981352993,0.5299683271643765,0.5961338908735739,,TP1M,14,14
NADK,2.9979902517647727,-0.024980243396861834,0.337248043006402,-0.07407083277392847,0.9409540235634295,,TP1M,14,14
GNB1,15.129042970825056,0.10417147359719753,0.18819578305104503,0.5535271402385393,0.5799025014850232,0.869609922989364,TP1M,14,14
FAAP20,9.04399056786995,-0.15322326930028132,0.18977398433782267,-0.8073987055439787,0.41943681248276254,0.7956433277280379,TP1M,14,14
SKI,4.230152666358001,1.3290753787616272,0.30371349622568866,4.376082707151068,1.2083118143496343e-05,,TP1M,14,14
RER1,7.509837830619206,-0.08507575419111288,0.22340361191191088,-0.3808163774212328,0.7033395059136365,0.9084067469862005,TP1M,14,14
PANK4,0.7806962772777997,0.3380977155963772,0.6451595468503791,0.5240528753653961,0.6002417639043015,,TP1M,14,14
AL139246.5,2.9209958554619067,-0.22051435710608908,0.32663863993663106,-0.6751018714407749,0.4996110447412887,,TP1M,14,14
TNFRSF14-AS1,1.349448164785376,-0.7274322711980725,0.6651758352880646,-1.0935939530681342,0.2741331024865231,,TP1M,14,14
TNFRSF14,12.040660963670703,-0.33120885444178544,0.17752712715836463,-1.8656802469761573,0.062086114888476436,0.35288652065288445,TP1M,14,14
TPRG1L,2.635866351863681,-0.5092413046363099,0.3912751464547318,-1.3014915699360068,0.1930902481953929,,TP1M,14,14
WRAP73,1.7696907772761337,-0.36175889142270345,0.418920750184617,-0.8635497078224879,0.3878353017709144,,TP1M,14,14
LRRC47,2.1480346769689,-0.607541660719683,0.4002438826660772,-1.5179286605775657,0.12903238387719781,,TP1M,14,14
CEP104,2.600153997456107,-0.4016421788777724,0.3824870489310081,-1.050080466777372,0.293681118564603,,TP1M,14,14
C1orf174,1.6995414576717711,0.057352315795807865,0.42532837907607496,0.1348424384951509,0.8927364511654285,,TP1M,14,14
KCNAB2,2.7716568403401576,0.2021077019333418,0.3714156851192671,0.5441549994541615,0.586334815634284,,TP1M,14,14
RPL22,323.4759465875519,-0.06626812183442893,0.07081205360930806,-0.9358310973446781,0.3493601576264904,0.752767670648856,TP1M,14,14
ICMT,0.8080225947043758,0.8814193152019256,0.7113438021727237,1.2390904545871129,0.21531200159729058,,TP1M,14,14
NOL9,2.7378292605708867,0.3811191207311094,0.32417578668292946,1.1756557287354568,0.23973247633949402,,TP1M,14,14
ZBTB48,1.085396581662294,0.07002017898737514,0.5074194222785952,0.13799270566535593,0.8902461824319725,,TP1M,14,14
KLHL21,0.9278656004438718,0.7660761552825729,0.6292896587035802,1.2173665095034152,0.22346479939964448,,TP1M,14,14
THAP3,1.0821727739305733,-0.5477069738033257,0.5716880810377243,-0.9580521126295509,0.33803648116536233,,TP1M,14,14
DNAJC11,1.2371799634706362,0.13885286963389487,0.4996858713801724,0.2778803195903301,0.7811042318474599,,TP1M,14,14
CAMTA1,6.740689927696418,0.48519306569757986,0.24655121906463792,1.9679199621818848,0.04907724757038426,0.31708553453458715,TP1M,14,14
VAMP3,2.7542215276723474,-0.28488797829552065,0.36680477047875354,-0.7766746815306815,0.4373507280481106,,TP1M,14,14
PARK7,23.16042366370017,0.030633488463374683,0.13224633484680057,0.23163960270703712,0.816817945446442,0.9555801926297574,TP1M,14,14
RERE,14.045943754111148,-0.29299654584978246,0.1871869754171973,-1.565261392769233,0.11752163162547775,0.4831708910682958,TP1M,14,14
ENO1,18.580728004137324,-0.20759251257914163,0.15086766336342294,-1.3759907719858762,0.16882449026399204,0.557329435255012,TP1M,14,14
H6PD,1.2847170396362197,-0.19608257951446925,0.4883481206249675,-0.4015221339718293,0.6880357454569135,,TP1M,14,14
SLC25A33,3.801251949869348,0.5805789986400784,0.31216861263669526,1.8598250276870776,0.06291028521061123,,TP1M,14,14
PIK3CD,4.469099016234369,-0.24051752175208868,0.28406391970288597,-0.8467021155085651,0.3971611792764649,,TP1M,14,14
CLSTN1,3.8077216227934154,0.024737841440505264,0.2914883576143933,0.08486733961851979,0.9323668572903967,,TP1M,14,14
LZIC,2.937620001880117,0.11692648873720168,0.3198796060602145,0.36553280209802214,0.7147137257448228,,TP1M,14,14
NMNAT1,0.7594317870588413,-0.36786697686128517,0.6165680717545748,-0.5966364359647133,0.5507501393437932,,TP1M,14,14
UBE4B,2.2264181318843375,0.22259320561539517,0.3987262157237587,0.5582607735268901,0.5766663267295311,,TP1M,14,14
PGD,1.9497915654904627,-0.3145036691926148,0.4946733963925787,-0.6357804391466021,0.5249195386600862,,TP1M,14,14
DFFA,3.0282220414062144,-0.3796204211230215,0.3320190631968925,-1.14336935195164,0.25288527170356934,,TP1M,14,14
PEX14,0.8978884064421073,-0.643707427817034,0.6501405547087798,-0.990105021375528,0.3221227892685734,,TP1M,14,14
CASZ1,1.1078481114976113,-0.0019053377126463196,0.5576898960998973,-0.003416482396347777,0.997274046746748,,TP1M,14,14
TARDBP,6.052608195520992,0.35955984003297753,0.23195620032116082,1.5501195464279027,0.12111282536771338,0.4853003884987275,TP1M,14,14
SRM,6.823051544125712,-0.5132586019340012,0.23507137452179086,-2.1834160070664947,0.029005188209343804,0.245709703954222,TP1M,14,14
EXOSC10,3.360850604072983,-0.6697809061727514,0.35936709239530784,-1.8637791838657973,0.062352720139828025,,TP1M,14,14
MTOR,2.5733340487463203,-1.0003467698109574,0.40545422251134705,-2.4672249400065422,0.013616479008362607,,TP1M,14,14
UBIAD1,2.311929664520799,-0.39360518324097643,0.40142480439848716,-0.9805203338911057,0.32682933745722065,,TP1M,14,14
FBXO44,1.4098925207189612,-0.25478222885359675,0.4528480961364234,-0.5626218394806765,0.5736924173190353,,TP1M,14,14
FBXO6,1.007724143511114,-1.3619123485352629,0.6370370669999789,-2.13788556284325,0.03252603227080464,,TP1M,14,14
MAD2L2,2.127522058113514,-0.1420506700272704,0.3617551585856473,-0.39267075162838133,0.6945626758101855,,TP1M,14,14
AGTRAP,1.9135891279930792,0.8507192905096623,0.4382225291848464,1.9412951955987203,0.052222481955390185,,TP1M,14,14
MTHFR,3.150663845553318,-0.10865257432253031,0.3081566517379831,-0.3525887684388345,0.7243967589821796,,TP1M,14,14
CLCN6,1.3515304025540953,0.2123991328326166,0.49862170572245235,0.42597249657407465,0.6701278871479619,,TP1M,14,14
KIAA2013,3.4885745053261323,-0.2540596919090559,0.34285726193882504,-0.741007177366968,0.4586890884787065,,TP1M,14,14
MFN2,1.0186984571330526,-0.0896704591505711,0.5504841520319291,-0.16289380687814978,0.8706020470965876,,TP1M,14,14
MIIP,2.2348989095585767,-0.16348772657745997,0.36982506011965216,-0.4420677347407599,0.6584401916863374,,TP1M,14,14
TNFRSF1B,7.768464489225397,0.5844775455757512,0.35360095088056015,1.6529297902628572,0.09834515341390171,0.44843974080709254,TP1M,14,14
VPS13D,4.247609225106084,0.38739100074931265,0.2972029017288553,1.3034563205669438,0.19241901931567684,,TP1M,14,14
PRDM2,37.574192935248746,0.13843730909535396,0.10782252652353505,1.2839367946468632,0.19916407161718042,0.6059552339504283,TP1M,14,14
EFHD2,9.455727415959492,0.3260188813725273,0.24513597188999742,1.3299512056876963,0.18353434854446893,0.5808477028654021,TP1M,14,14
