pathway,n_pathway_genes_tested,n_significant_in_pathway,score,pval,padj
TNFA_SIGNALING_VIA_NFKB,153,9,2.5054944306794216,4.536056638404414e-07,2.2680283192022068e-05
ALLOGRAFT_REJECTION,109,5,2.1735548332503147,0.0006736829648422434,0.016842074121056084
EPITHELIAL_MESENCHYMAL_TRANSITION,45,3,2.5780267812659514,0.0030854735300599443,0.03849946191995116
APOPTOSIS,99,4,2.0373916994221344,0.0038499461919951163,0.03849946191995116
IL2_STAT5_SIGNALING,90,4,2.13784676944632,0.002726772576905227,0.03849946191995116
INFLAMMATORY_RESPONSE,106,4,1.9655077953115214,0.004915483996779476,0.04096236663982897
COAGULATION,36,2,2.42575525124035,0.023047840239197277,0.13480410632731424
HYPOXIA,93,3,1.814355092252326,0.022711358903251086,0.13480410632731424
TGF_BETA_SIGNALING,37,2,2.397019672794316,0.024264739138916563,0.13480410632731424
IL6_JAK_STAT3_SIGNALING,49,2,2.103874131191694,0.04078591177728923,0.20392955888644612
ANDROGEN_RESPONSE,59,2,1.9111922165591084,0.05696494796202125,0.23798041296050246
INTERFERON_GAMMA_RESPONSE,134,3,1.4339646121302265,0.05711529911052059,0.23798041296050246
ESTROGEN_RESPONSE_EARLY,64,2,1.826996275327499,0.0657666488741423,0.2529486495159319
ESTROGEN_RESPONSE_LATE,67,2,1.7796237715571102,0.0712538169160283,0.2544779175572439
KRAS_SIGNALING_UP,80,2,1.5964538786926863,0.09661467602880032,0.31318050434548367
WNT_BETA_CATENIN_SIGNALING,16,1,2.6931245508855346,0.10021776139055477,0.31318050434548367
KRAS_SIGNALING_DN,18,1,2.5714402524617737,0.11203412005328729,0.32951211780378614
COMPLEMENT,103,2,1.33572937976853,0.14643944672691322,0.4067762409080923
BILE_ACID_METABOLISM,31,1,2.0138095267208933,0.18523250508699204,0.4874539607552422
REACTIVE_OXYGEN_SPECIES_PATHWAY,41,1,1.7286120442852062,0.2375000799032605,0.5937501997581512
UV_RESPONSE_DN,56,1,1.411092764967934,0.30982142812170105,0.7376700669564311
INTERFERON_ALPHA_RESPONSE,69,1,1.198524085929572,0.3670515964730365,0.8342081738023557
UV_RESPONSE_UP,90,1,0.9276883905929163,0.4498606246900995,0.9779578797610858
HEME_METABOLISM,96,1,0.8618183696178966,0.47151134018133334,0.9823152920444445
E2F_TARGETS,83,0,-0.1249419231664366,1.0,1.0
G2M_CHECKPOINT,97,0,-0.28223918353328425,1.0,1.0
CHOLESTEROL_HOMEOSTASIS,35,0,0.7381890050306394,1.0,1.0
DNA_REPAIR,96,0,-0.27176596003168374,1.0,1.0
ANGIOGENESIS,10,0,1.9603937220117895,1.0,1.0
ADIPOGENESIS,111,0,-0.41870817374970926,1.0,1.0
APICAL_SURFACE,13,0,1.7085944844130487,1.0,1.0
APICAL_JUNCTION,64,0,0.13634102181827792,1.0,1.0
MYC_TARGETS_V1,167,0,-0.8349071615625322,1.0,1.0
MTORC1_SIGNALING,140,0,-0.6546655291618563,1.0,1.0
MITOTIC_SPINDLE,106,0,-0.3720076846825206,1.0,1.0
FATTY_ACID_METABOLISM,80,0,-0.08786211939872235,1.0,1.0
HEDGEHOG_SIGNALING,10,0,1.9603937220117895,1.0,1.0
GLYCOLYSIS,74,0,-0.009424068447886515,1.0,1.0
NOTCH_SIGNALING,16,0,1.507438744478979,1.0,1.0
MYC_TARGETS_V2,23,0,1.1526660180301573,1.0,1.0
PI3K_AKT_MTOR_SIGNALING,71,0,0.03216724328465999,1.0,1.0
PEROXISOME,48,0,0.4240468277601881,1.0,1.0
PANCREAS_BETA_CELLS,9,0,2.060638731457653,1.0,1.0
P53_PATHWAY,114,1,0.6861887799238646,0.531594687652864,1.0
OXIDATIVE_PHOSPHORYLATION,170,0,-0.853156536976522,1.0,1.0
PROTEIN_SECRETION,77,0,-0.049392755329576356,1.0,1.0
SPERMATOGENESIS,26,0,1.032035876219024,1.0,1.0
MYOGENESIS,45,0,0.4883858667968479,1.0,1.0
UNFOLDED_PROTEIN_RESPONSE,78,0,-0.06237678907099052,1.0,1.0
XENOBIOTIC_METABOLISM,73,0,0.0042528893741124625,1.0,1.0
