,score,pval,neglog10p
TNFA_SIGNALING_VIA_NFKB,7.203287604945729,6.1469360605628625e-30,29.21134130431678
ALLOGRAFT_REJECTION,7.13006025946727,3.7638128717306496e-28,27.42437197684813
IL2_STAT5_SIGNALING,8.150770475858177,2.1866867995686736e-27,26.660213416761078
APOPTOSIS,8.06735779944056,1.6919030169779101e-25,24.771624535149527
INTERFERON_GAMMA_RESPONSE,8.06735779944056,1.6919030169779101e-25,24.771624535149527
INFLAMMATORY_RESPONSE,7.97756591214059,1.806594498190339e-23,22.743139316703626
COMPLEMENT,7.880224685649384,1.9716372946536012e-21,20.705172975509665
ESTROGEN_RESPONSE_EARLY,6.675149382357153,2.167266351243289e-18,17.664087711768854
INTERFERON_ALPHA_RESPONSE,7.375571920990473,3.7857412517328104e-13,12.421849072565776
IL6_JAK_STAT3_SIGNALING,7.202344977220227,4.205327405748527e-11,10.376200186554614
KRAS_SIGNALING_UP,5.386000536183072,6.943392349967326e-08,7.1584282933907994
