grouping,comparison,res1_cluster,res2_cluster,cluster_overlap_pct,sig_genes_res1,sig_genes_res2,conserved,lost,gained,conserved_pct_of_res1,direction_agreement_pct,conserved_genes,lost_genes,gained_genes
Harmony,ACS_vs_CCS,0,4,49.2,98,29,9,89,20,9.2,100.0,EIF4E;LMNA;MTRNR2L8;PHLDA1;PSME2;RPS4Y1;THBS1;TNFSF10;XIST,AC016831.5;AC016831.7;AL121603.2;ANPEP;AP001160.1;ARL4C;ATF7IP2;BCL11B;BCL2;CAMK2D;CAVIN2;CCDC71L;CCND2;CD2;CD3D;CD3E;CD3G;CD40;CD9;CLU;CXCL1;CXCL2;CXCL3;CXorf40A;EMP1;EPSTI1;ERAP2;ETS1;FAM102B;FOSL1;GBP1;GBP4;GBP5;GCLM;GNG11;GPR183;HLA-DQA2;HP;IFIT2;IGFLR1;IL1A;IL1R2;IL32;IL7R;IRGQ;KLF5;KLRB1;LBH;LHFPL2;LINC01678;LITAF;LUCAT1;MAF;MED17;MGAT4A;MLF1;MMD;MPND;MTHFD2L;MYC;NKG7;NRIP3;OSGIN2;PDE4D;PPBP;PRDM8;PTPN7;RBKS;RUNX3;SAV1;SERPINB2;SFMBT2;SKI;SLC38A1;SMAD7;SNAI1;SPOCK2;SYNE2;SYNJ2;TAP1;TEP1;TMEM50B;TRAC;TRBC1;TUBB1;TUBB2A;UBASH3B;ZFY;ZNF165,AKAP9;ATP13A3;ATXN1;BASP1;CD163;CXCL8;DDX3Y;DYRK1A;EREG;HEXIM1;HIST2H2AC;NCF1;NOP56;OSCAR;PSMB9;RUNX1;STAT1;SULT1A1;TENT5A;UBE2L6
Harmony,ACS_vs_CCS,1,2,59.2,11,7,4,7,3,36.4,100.0,HIST1H1D;MTRNR2L8;RPS26;RPS4Y1,DDX3Y;HIST1H1E;HIST1H4E;KLRB1;MAF;PRDM1;ZFY,BATF;CD8B;XIST
Harmony,ACS_vs_CCS,2,6,56.9,31,22,9,22,13,29.0,100.0,ABLIM1;AC058791.1;FKBP5;IGKC;MTRNR2L8;MYOM2;PTS;RGCC;XIST,AC016831.5;AC108863.1;BCL2L11;EGR1;GADD45G;GBP1;GPR183;HGS;IGHA1;IL7R;KIR2DL1;LAIR1;MLF1;MXI1;PDE3B;PTMS;SKI;SLC7A5;TESC;TTTY15;UTY;ZBTB21,EPSTI1;GALNT11;MAFF;PDE4D;PDLIM2;PLEKHA2;RALGAPA1;RGS1;RPF1;RYBP;S100A8;SAMSN1;SYTL3
Harmony,ACS_vs_CCS,3,8,47.6,17,11,3,14,8,17.6,100.0,GZMK;MTRNR2L8;XIST,ASCL2;CD8B;EPSTI1;FAM126A;GMNN;HLA-DRB5;IGKC;IL6ST;MAL;NELL2;SESN3;SLC12A2;UTY;ZSWIM6,CCL4L2;EIF1AY;FGFBP2;GZMB;METRNL;TYROBP;UBE2L6;USP36
Harmony,ACS_vs_CCS,4,3,59.9,4,4,3,1,1,75.0,100.0,HIST1H4C;IGKC;MTRNR2L8,XIST,DDX3Y
Harmony,ACS_vs_CCS,5,0,92.5,10,14,10,0,4,100.0,100.0,AC016831.5;AC058791.1;ATXN1;GPRIN3;HIST1H1D;KLRB1;MTHFD2;MTRNR2L8;RPS26;USP38,,HIST1H4E;JUNB;MAF;ZNF267
Harmony,ACS_vs_CCS,6,1,61.9,2,3,2,0,1,100.0,100.0,MTRNR2L8;RPS26,,HIST1H1D
Harmony,ACS_vs_CCS,7,7,99.9,51,51,51,0,0,100.0,100.0,ANXA2;BCL11B;CCL5;CD2;CD27;CD3D;CD3E;CD3G;CDCA7L;CREM;FABP5;FCER2;FKBP5;FYB1;GIMAP7;GNLY;GZMA;HCST;HIPK2;HIST1H1C;HIST1H1D;HLA-DQA2;ID2;IGHD;IGHM;IL32;IL4R;IL7R;ITGB1;LEPROTL1;LITAF;LMNA;METRNL;MTRNR2L8;NKG7;NOSIP;PAG1;PIM1;PPP2R5C;RASGRP1;RGCC;RORA;S100A4;SRGN;TCF7;TCL1A;TNFAIP3;TNFRSF1B;TRAC;TRBC1;XIST,,
Harmony,ACS_vs_CCS,8,13,99.8,31,62,25,6,37,80.6,100.0,AHR;BASP1;BCL2L11;CXCR4;DDX3Y;EIF4E;EPSTI1;EREG;ETS1;GBP1;GBP4;IL32;IL7R;IRS2;LDHB;LITAF;LMNA;MTRNR2L8;NAGK;RPS4Y1;SFMBT2;SLC2A3;STK17A;TRBC2;UBE2L6,CCL5;DDIT4;DYRK1A;GPBAR1;IFIT2;PELI1,AC245128.3;APOBEC3G;ARHGAP15;ARID5A;ARL4C;ATXN1;CCL3L1;CD151;CD3D;CD3E;CD3G;CD99;CHML;CXCL3;CXCL8;EMB;HLA-DQA2;IGF2R;KLRB1;MAPK6;PCNX1;PHLDA1;PPM1N;RNF125;SELL;SEMA4D;SLAMF7;SLC38A1;SRPK2;SUSD6;SYNE2;TCF7;TRAC;TRBC1;VCAN;XIST;ZBTB43
Harmony,ACS_vs_CCS,9,15,76.4,0,0,0,0,0,,,,,
