gene,timepoint,log2FoldChange,padj
JAK1,TP1M,-0.0313869333304349,0.7493314405855566
ODC1,TP1M,-0.0520489534529011,0.8922667960913224
IL6ST,TP1M,0.1936049722492842,0.2425390093218249
VCAN,TP1M,0.3592031711764979,0.4950392418591737
HINT1,TP1M,0.2161778013899793,0.0005245312147612
CD74,TP1M,-0.4132067906218219,0.0028594702974696
HIST1H4C,TP1M,-1.1157093843710466,7.501613555144136e-33
PIM1,TP1M,0.4203306050831714,0.0028194826212196
EIF3E,TP1M,0.1579286802171291,0.0177775060134077
UBC,TP1M,-0.0156366750969005,0.9456600278510964
HMGB1,TP1M,0.2376229585131995,0.0001713232133017
PSME2,TP1M,-0.0305085643513293,0.8686262031048562
STAT3,TP1M,0.1485681808784604,0.2197354698033896
SOCS3,TP1M,-0.2788589981826689,0.1880035823100419
JAK1,TP2M,0.0594380008842861,0.4062972421679784
ODC1,TP2M,-0.0690173487209357,0.7707041266232696
IL6ST,TP2M,0.1137166197420508,0.5057562426361161
VCAN,TP2M,0.8079924561295323,0.0125760280455377
HINT1,TP2M,0.0969949674327398,0.1787954632935838
CD74,TP2M,-0.4569978789094713,3.665138006446524e-06
HIST1H4C,TP2M,-0.970314680300032,2.096268866093514e-46
PIM1,TP2M,0.3569813261100822,0.0008424308202926
EIF3E,TP2M,0.0362639540143389,0.6810761793780713
UBC,TP2M,-0.263729866179192,0.0001118626033405
HMGB1,TP2M,0.1275394952835238,0.0391230972771491
PSME2,TP2M,-0.2811120449533807,0.0092550038211713
STAT3,TP2M,0.1935083753640919,0.0631815209182816
SOCS3,TP2M,-0.1180744161065439,0.6889835250560288
JAK1,TP3M,0.0514475012140366,0.5154530058312818
ODC1,TP3M,0.1633475284449935,0.359300823844554
IL6ST,TP3M,-0.0893698275279665,0.6628709347908865
VCAN,TP3M,-0.1259458130364616,0.8284182859756458
HINT1,TP3M,0.1830490137269611,0.0132840161159258
CD74,TP3M,-0.2661213531267097,0.0406737207263639
HIST1H4C,TP3M,-0.6319208833145392,0.0033389575378196
PIM1,TP3M,0.097709445783575,0.5941713978671103
EIF3E,TP3M,0.131224117556407,0.1921160457918218
UBC,TP3M,-0.0395693948786826,0.7698367284058674
HMGB1,TP3M,0.1512852317062285,0.0166148313323871
PSME2,TP3M,-0.1606096262098971,0.3311072507403292
STAT3,TP3M,0.0357346179806575,0.833767967528202
SOCS3,TP3M,-0.3381274428881822,0.0494709598670457
JAK1,TP4M,-0.015134039031424,0.9085719550918115
ODC1,TP4M,0.4536906058287521,0.0116675750975477
IL6ST,TP4M,-0.2591692022467525,0.1320691086467642
VCAN,TP4M,-0.4319927600975966,0.3748060066950271
HINT1,TP4M,0.1097919992025514,0.1000439152614898
CD74,TP4M,0.0171160257673749,0.9635107035928278
HIST1H4C,TP4M,-0.4378004123418195,0.0128472267282436
PIM1,TP4M,0.2220563624097161,0.1538267687888601
EIF3E,TP4M,0.0488615549734889,0.7841441608490125
UBC,TP4M,0.2307364748579109,0.0159061467726995
HMGB1,TP4M,0.085395385694219,0.1712579643334418
PSME2,TP4M,0.0977694241020536,0.6313873422770507
STAT3,TP4M,-0.0756977595682468,0.6661646613161329
SOCS3,TP4M,-0.2212086053909468,0.2984749610413129
