gene,timepoint,log2FoldChange,padj
JAK1,TP1M,0.1957102099124791,0.0584482441603324
ODC1,TP1M,-0.0408889620256494,0.8779933288990562
IL6ST,TP1M,0.4879482502078809,0.0004000402217087
VCAN,TP1M,0.1305863005016478,0.4798364339558496
HINT1,TP1M,0.2455667726523621,0.0171767249820769
CD74,TP1M,-0.6807733718599546,2.33029359719204e-19
HIST1H4C,TP1M,-0.397114868285345,0.0667684628623104
PIM1,TP1M,0.9238517484331008,0.0002022033088954
EIF3E,TP1M,0.2839878145880724,0.0048946951680648
UBC,TP1M,0.1035549668388013,0.5255310418585323
HMGB1,TP1M,0.0346463265522156,0.7048018437011795
PSME2,TP1M,-0.8469913170139255,4.916502240422926e-07
STAT3,TP1M,-0.0737957731894833,0.6280585980943141
SOCS3,TP1M,0.1571107678913555,0.5073614168277638
JAK1,TP2M,0.2626730604350907,0.001401118322253
ODC1,TP2M,0.1812542924033287,0.3346605065331732
IL6ST,TP2M,0.5099991199838678,0.0004326642382444
VCAN,TP2M,0.1527185194747805,0.3469771719086575
HINT1,TP2M,0.249653663698446,0.0033810065023073
CD74,TP2M,-0.8068633041956982,1.952605640499918e-17
HIST1H4C,TP2M,0.183932705425269,0.4129718744648563
PIM1,TP2M,0.820059316479778,0.0002003887447318
EIF3E,TP2M,0.1691175815952637,0.1695150749230434
UBC,TP2M,-0.1430014201688746,0.2382330811191451
HMGB1,TP2M,0.100457854918984,0.119306124290243
PSME2,TP2M,-0.9710886762737536,9.67660323582454e-10
STAT3,TP2M,-0.0358729038113653,0.8375723938667725
SOCS3,TP2M,0.1540032491679029,0.5072086906735154
JAK1,TP3M,0.057599493633527,0.7670863287993085
ODC1,TP3M,0.1623654397548008,0.6125735757052775
IL6ST,TP3M,0.1347407370491637,0.5826677349059514
VCAN,TP3M,0.0116038630600721,0.972856266738196
HINT1,TP3M,0.1679051940979863,0.2449499490682624
CD74,TP3M,-0.4435671303835576,0.0073102642501687
HIST1H4C,TP3M,0.2372077369182278,0.5279419460078372
PIM1,TP3M,0.588824997058465,0.1459415715033058
EIF3E,TP3M,0.1403505490425253,0.3985313371007192
UBC,TP3M,-0.0065091337680459,0.9778950445232534
HMGB1,TP3M,0.0436504100458397,0.7251374009156321
PSME2,TP3M,-0.6096214504714568,0.010698908930528
STAT3,TP3M,-0.2229724819342114,0.26552389741756
SOCS3,TP3M,0.3153012945627405,0.3096235447046639
JAK1,TP4M,0.1483227955206581,0.3557502165558528
ODC1,TP4M,0.5313715584265851,0.002245516058797
IL6ST,TP4M,0.2617551081004107,0.1968605406015342
VCAN,TP4M,-0.248105620345516,0.267080774608354
HINT1,TP4M,0.2373437622429392,0.0192315805223663
CD74,TP4M,-0.3721929685440507,0.006921905966378
HIST1H4C,TP4M,0.5882816454275457,0.0231547794048111
PIM1,TP4M,0.6208877245532785,0.0703215040941833
EIF3E,TP4M,-0.0540391633081005,0.8047898916044737
UBC,TP4M,0.2887600597061501,0.0718416342674004
HMGB1,TP4M,0.0779556589702778,0.4069052160315213
PSME2,TP4M,-0.360644245455014,0.2470150911327888
STAT3,TP4M,-0.1265351918409725,0.5987932817628776
SOCS3,TP4M,0.3180342790179032,0.3605991430866671
