gene,population,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,timepoint
AL669831.5,Pooled_CD4,14.30542516098064,0.44243118379446533,0.1630335331701243,2.7137434562789706,0.00665276642101195,0.052889138799631745,TP1M
NOC2L,Pooled_CD4,41.98141910149569,-0.07764986505210024,0.09822225624308223,-0.7905526509178423,0.42920508647580347,0.6809810776922153,TP1M
HES4,Pooled_CD4,10.237546320667086,-0.15666253547223952,0.3230360370522818,-0.48496922170601187,0.6276981783113256,,TP1M
ISG15,Pooled_CD4,164.2804616994474,-0.1090863941184217,0.12780560156514853,-0.8535337479931601,0.3933633809123368,0.6482246442628243,TP1M
TNFRSF18,Pooled_CD4,15.328629622089247,0.19770424152114863,0.3050390941200275,0.6481275526059473,0.5169024547435903,0.7443435232756369,TP1M
TNFRSF4,Pooled_CD4,36.52638000187122,-0.06843537201950159,0.18306190784088408,-0.37383731452741686,0.7085253560260367,0.8617070646121677,TP1M
SDF4,Pooled_CD4,73.82827834617788,-0.023730229677194473,0.0699941326941468,-0.3390316982837462,0.7345858510222856,0.8773493662220484,TP1M
B3GALT6,Pooled_CD4,14.630342288388286,-0.2171547750283736,0.1618814942882025,-1.3414428621579586,0.17977670920046385,0.4273990873189371,TP1M
UBE2J2,Pooled_CD4,54.16467387303869,-0.02657079559583243,0.08411774378295411,-0.31587622778366553,0.7520964562907234,0.8882329419258764,TP1M
ACAP3,Pooled_CD4,13.064045349881553,0.019413450559480513,0.16042575036304138,0.12101206019325529,0.9036814827452969,0.9598171366416414,TP1M
PUSL1,Pooled_CD4,9.76104076606456,-0.26187023612202764,0.19520498696120753,-1.341514067845348,0.17975360535426477,,TP1M
INTS11,Pooled_CD4,30.625995968867777,-0.20335846945516836,0.10530263086614833,-1.9311812799212984,0.05346063819888764,0.2066720166518365,TP1M
AURKAIP1,Pooled_CD4,133.20514588386504,-0.021393902380074672,0.0684915939818267,-0.3123580739813304,0.7547684095275199,0.8891007499190491,TP1M
CCNL2,Pooled_CD4,54.54900425914625,-0.09126188158112558,0.08824991482994322,-1.0341299677964153,0.3010754081867201,0.5695711916152725,TP1M
MRPL20,Pooled_CD4,136.64580778724132,-0.06638494933528054,0.0751865907343235,-0.8829360220608472,0.37727083959178953,0.6357396879351487,TP1M
ATAD3B,Pooled_CD4,9.976267379993013,0.14835844630866962,0.16934763247211632,0.8760585792842268,0.38099818891364134,,TP1M
SSU72,Pooled_CD4,180.76655242677816,-0.003347531309162647,0.057763566003678296,-0.05795229659037118,0.9537866264287549,0.9794882774622337,TP1M
AL645728.1,Pooled_CD4,20.099681081287006,-0.3992313947159113,0.17333989189343732,-2.30317089941041,0.021269229457968376,0.11252643366671433,TP1M
MIB2,Pooled_CD4,46.392124883401436,-0.30150858507300615,0.10744866101633181,-2.8060711247688603,0.0050149621520985165,0.044199164658105576,TP1M
CDK11B,Pooled_CD4,39.66827664954842,-0.2048478921759495,0.11138276556642421,-1.8391345477392234,0.06589539870734126,0.23401957723610967,TP1M
SLC35E2B,Pooled_CD4,15.798826898323068,-0.015184921378253908,0.15900400879117452,-0.09550024237562961,0.9239174977533587,0.9695029688963765,TP1M
CDK11A,Pooled_CD4,44.603866348923816,-0.2575653647775697,0.13129612833785548,-1.961713327256643,0.049795869335978495,0.19687204768782526,TP1M
SLC35E2A,Pooled_CD4,9.663501567262013,0.19397470380278303,0.1856656564102017,1.0447527429317551,0.2961372612155385,,TP1M
NADK,Pooled_CD4,12.152060959066173,0.15168799300439811,0.16797437979616175,0.9030424353313445,0.3665033735288896,0.6273670450339741,TP1M
GNB1,Pooled_CD4,141.55537068770388,-0.03641292555096463,0.07226011544255875,-0.503914577605541,0.6143214061446897,0.8105177265588738,TP1M
PRKCZ,Pooled_CD4,10.44319392435515,-0.10650989180806994,0.18424368250992493,-0.578092504215619,0.5632016674905467,,TP1M
FAAP20,Pooled_CD4,81.9966584663286,-0.1284460383457364,0.10051704781901877,-1.2778532709894528,0.20130116712925417,0.45661294822846626,TP1M
SKI,Pooled_CD4,73.87588909177721,0.33984644513418044,0.10966068193562421,3.0990728776763,0.0019412726205026536,0.023335910003304844,TP1M
RER1,Pooled_CD4,84.3909673524025,0.01667052252289156,0.09175821611829481,0.18167879921946067,0.8558348048357198,0.9368810458568712,TP1M
AL139246.5,Pooled_CD4,35.13019286974686,-0.5121898999903621,0.11593590543512151,-4.417871220033615,9.967777836322275e-06,0.00043256337255044694,TP1M
TNFRSF14,Pooled_CD4,135.69848186663202,-0.09374203665615916,0.07416305886616116,-1.2639990594957973,0.2062303645230692,0.46314972056700104,TP1M
TPRG1L,Pooled_CD4,28.992376287418185,-0.22330386919516143,0.10757173587636737,-2.075860051675707,0.03790689637624724,0.165482445291629,TP1M
WRAP73,Pooled_CD4,16.989056283253582,-0.03594273768106338,0.14131276201394796,-0.2543488441441385,0.7992260680228568,0.9102983842811461,TP1M
LRRC47,Pooled_CD4,17.834839157122545,0.035742904391882574,0.14219137043993488,0.2513718257394618,0.8015266483137488,0.9118251188147111,TP1M
CEP104,Pooled_CD4,19.521075294232162,-0.5256738110342992,0.15493545540122639,-3.392856784607471,0.0006916779076968084,0.011104033507433709,TP1M
C1orf174,Pooled_CD4,19.77925137393292,0.10964402866292451,0.12338416572834433,0.8886393810396095,0.3741969192688086,0.6338506926121299,TP1M
KCNAB2,Pooled_CD4,45.88997954350671,0.12122037452982465,0.14033252086086068,0.863808145013046,0.3876932927347496,0.6439987606285951,TP1M
RPL22,Pooled_CD4,4137.319007161106,-0.025855961793266387,0.05069460403064441,-0.5100338051291752,0.6100277786747902,0.8082813929370445,TP1M
TNFRSF25,Pooled_CD4,96.65281196309331,0.029793661959040256,0.09074102741767819,0.32833727815204183,0.7426566611605284,0.8818088079470884,TP1M
NOL9,Pooled_CD4,33.46316638601752,-0.10927562429381248,0.12659340316294648,-0.8632015694621686,0.38802665094340005,0.644265780536584,TP1M
ZBTB48,Pooled_CD4,9.830488628109812,-0.30007898840401953,0.18457867924990315,-1.6257510868724943,0.10400261748161531,,TP1M
KLHL21,Pooled_CD4,14.028496653441596,0.008931621241679255,0.17077823934058792,0.05229952759886854,0.9582900297250411,0.9818329772025023,TP1M
DNAJC11,Pooled_CD4,11.718791511390409,0.063065408578052,0.16039097538370758,0.39319798652747734,0.6941732567238645,0.853426113544738,TP1M
CAMTA1,Pooled_CD4,60.48767103116802,0.24492453261225425,0.08258149876455158,2.9658523552661538,0.0030184535835580195,0.03182592655545285,TP1M
VAMP3,Pooled_CD4,21.184839592105163,0.15848900653555753,0.12163545171682809,1.3029836638788985,0.19258033880214098,0.4452190242050116,TP1M
PARK7,Pooled_CD4,250.54969472951151,0.08900852823768882,0.05856701884773476,1.5197722197385068,0.12856823339652343,0.35120050443305745,TP1M
RERE,Pooled_CD4,54.22139397709225,-0.08520931044717327,0.08305154034878441,-1.025981096669936,0.30490049445948597,0.5730317701762494,TP1M
ENO1,Pooled_CD4,251.4788455204558,-0.10921033031392618,0.060755672642911394,-1.7975330625636352,0.07225103416519182,0.2476879395714377,TP1M
H6PD,Pooled_CD4,13.179324205398718,-0.24435968598558022,0.17697939368442872,-1.3807239413493362,0.16736385709395507,0.4096298994119261,TP1M
SPSB1,Pooled_CD4,11.07549217579917,0.18678998006165823,0.30552496542999186,0.6113738685765742,0.5409520982184991,0.7619259270190747,TP1M
