gene,cluster,timepoint,log2FoldChange,padj,sig
JAK1,0,TP1M,-0.0629205119157951,0.6337818728448462,False
ODC1,0,TP1M,-0.0859997107838317,0.8342158919872207,False
IL6ST,0,TP1M,0.3315273129248611,0.0461625348836722,False
HINT1,0,TP1M,0.2166805916785663,0.0010975845414741,False
CD74,0,TP1M,-0.5914178234468804,3.209414551040149e-08,False
PIM1,0,TP1M,0.3418178283720317,0.0661924017645142,False
EIF3E,0,TP1M,0.2406950623365965,0.0002188936666511,False
UBC,0,TP1M,-0.073284651620574,0.7530583046735295,False
HMGB1,0,TP1M,0.1694174775605541,0.0389539923924324,False
PSME2,0,TP1M,-0.0911736762818649,0.6331658520370992,False
STAT3,0,TP1M,0.1784466899722515,0.252314848959539,False
SOCS3,0,TP1M,-0.2651473785687138,0.24492605017455,False
JAK1,2,TP1M,0.0422189093022765,0.8243690076212494,False
ODC1,2,TP1M,0.0606881204413275,0.8838398601894301,False
IL6ST,2,TP1M,0.3476245479333355,0.0152079677419489,False
HINT1,2,TP1M,0.2052620493822893,0.0103652099713006,False
CD74,2,TP1M,-0.6353947545501256,0.0001066488479711,False
PIM1,2,TP1M,0.4195897804580392,0.1336570268460748,False
EIF3E,2,TP1M,0.2172731082631993,0.0027504908875925,False
UBC,2,TP1M,0.0572047374958191,0.7918145275832714,False
HMGB1,2,TP1M,0.1433552239707143,0.050798136849252,False
PSME2,2,TP1M,-0.2616599085478536,0.1826861957962347,False
STAT3,2,TP1M,0.228362828262549,0.1279247720392896,False
SOCS3,2,TP1M,-0.2265362616694949,0.4708241403186453,False
JAK1,5,TP1M,-0.0273600377253269,0.8775975679243849,False
ODC1,5,TP1M,-0.1000938623083603,0.7033890167979757,False
IL6ST,5,TP1M,0.2552007998039222,0.1158562668236641,False
HINT1,5,TP1M,0.1783821275890589,0.0208231167081723,False
CD74,5,TP1M,-0.3760952171245919,0.0559490454494941,False
PIM1,5,TP1M,0.4514519888805816,0.0933199608919556,False
EIF3E,5,TP1M,0.1164481626597798,0.167142755752586,False
UBC,5,TP1M,-0.0604651670247223,0.6414383078368121,False
HMGB1,5,TP1M,0.1368107950478629,0.0686892160617008,False
PSME2,5,TP1M,-0.0992057872633412,0.6901886050577483,False
STAT3,5,TP1M,0.3156945723882461,0.0694556478026595,False
SOCS3,5,TP1M,-0.0797062599713601,0.842736488397265,False
JAK1,6,TP1M,-0.0297578120060593,0.8787375431648892,False
ODC1,6,TP1M,-0.2436306676230429,0.2883325928809888,False
IL6ST,6,TP1M,0.4127680363612593,0.0341064713651589,False
VCAN,6,TP1M,0.2395252157624244,0.3018065019793285,False
HINT1,6,TP1M,0.0846431855814293,0.6287067931770164,False
CD74,6,TP1M,-0.6350463491001209,9.286182063235031e-11,False
PIM1,6,TP1M,0.5809514564552809,0.0912071624834355,False
EIF3E,6,TP1M,0.1801030185337595,0.1848114976534823,False
UBC,6,TP1M,0.0073283202473197,0.978802738279977,False
HMGB1,6,TP1M,-0.01405000363504,0.9233869509725018,False
PSME2,6,TP1M,-0.7690052860174895,1.0841553671330711e-06,False
STAT3,6,TP1M,-0.0518807346756494,0.8301243422532513,False
SOCS3,6,TP1M,-0.0351552150260157,0.909957729629856,False
JAK1,7,TP1M,0.0271267998614401,0.923747574092672,False
ODC1,7,TP1M,-0.345692223707215,0.3119839314176694,False
IL6ST,7,TP1M,0.3056130531948557,0.2520983849186257,False
VCAN,7,TP1M,0.3451824833529521,0.0337699492331811,False
HINT1,7,TP1M,0.145570197624368,0.3489160812812943,False
CD74,7,TP1M,-0.7222702579006608,1.0211542032469257e-07,False
EIF3E,7,TP1M,0.2046258905598087,0.2782471944317751,False
UBC,7,TP1M,0.0349968966621424,0.8850350730552724,False
HMGB1,7,TP1M,0.0038243285661365,0.9841303684426752,False
PSME2,7,TP1M,-0.9556180368842688,0.001032494624731,False
STAT3,7,TP1M,-0.1650872080207716,0.4267630375751823,False
SOCS3,7,TP1M,0.6816823895211411,0.0888994309500629,False
