grouping,cluster_id,assigned_cell_type,purity_pct,n_cells
Harmony_leiden,0,Monocytes - CD14,99.5,16077
Harmony_leiden,1,T-cell-CD4,98.8,14307
Harmony_leiden,2,NK,91.4,13594
Harmony_leiden,3,T-cell-CD8,89.2,13405
Harmony_leiden,4,T-cell-CD4,96.8,13287
Harmony_leiden,5,T-cell-CD4,99.4,12804
Harmony_leiden,6,T-cell-CD4,98.9,12105
Harmony_leiden,7,B-cell,99.8,6913
Harmony_leiden,8,Monocytes - CD16_FCGR3A,95.1,2947
Harmony_leiden,9,Monocytes - CD14,77.4,1939
Harmony_leiden,10,Dendritic,88.4,1099
Harmony_leiden,11,Plasma Blast,99.7,576
Harmony_leiden,12,Progenitor,63.7,358
Harmony_leiden,13,Megakaryocytes,62.4,93
DRVI_leiden,0,NK,59.9,20203
DRVI_leiden,1,T-cell-CD4,96.4,13913
DRVI_leiden,2,Monocytes - CD14,99.7,10295
DRVI_leiden,3,T-cell-CD4,96.4,9564
DRVI_leiden,4,T-cell-CD4,99.5,9097
DRVI_leiden,5,T-cell-CD4,99.0,8255
DRVI_leiden,6,T-cell-CD4,99.0,7027
DRVI_leiden,7,Monocytes - CD14,99.4,6709
DRVI_leiden,8,T-cell-CD8,71.1,6411
DRVI_leiden,9,B-cell,99.4,5849
DRVI_leiden,10,Monocytes - CD16_FCGR3A,85.3,3325
DRVI_leiden,11,T-cell-CD4,98.8,3290
DRVI_leiden,12,Dendritic,78.3,1241
DRVI_leiden,13,B-cell,99.7,1100
DRVI_leiden,14,T-cell-CD4,68.5,886
DRVI_leiden,15,NK,77.2,753
DRVI_leiden,16,T-cell-CD4,52.6,680
DRVI_leiden,17,Plasma Blast,99.0,592
DRVI_leiden,18,NK,50.3,314
