variable,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,gene,significant,cell_type,cluster_id,timepoint,grouping,n_sterile,n_infection
USE1,9.272149169357718,1.0225338172572689,0.30222418357931863,3.383361996869801,0.0007160418351690977,0.9992189175897813,,USE1,False,NK,0,TP1M,DRVI_leiden,16,3
C12orf57,84.177111592409,-0.5742447518203017,0.17461367535554895,-3.2886585237440458,0.001006660769873226,0.9992189175897813,,C12orf57,False,NK,0,TP1M,DRVI_leiden,16,3
COX6A1,84.80755674582228,-0.42527359713144103,0.14516843326087348,-2.92951840547323,0.0033948770713322493,0.9992189175897813,,COX6A1,False,NK,0,TP1M,DRVI_leiden,16,3
PSME3,9.17317942158683,0.86747044900086,0.3119027453589566,2.7812209475826264,0.005415486593292018,0.9992189175897813,,PSME3,False,NK,0,TP1M,DRVI_leiden,16,3
BTG3,19.13242891919786,-0.8826347602986444,0.3209695889282669,-2.749901519473558,0.005961317790304013,0.9992189175897813,,BTG3,False,NK,0,TP1M,DRVI_leiden,16,3
PCNX4,20.77704200555964,0.6718913548427531,0.2486265626379873,2.702411792665374,0.006883844694553201,0.9992189175897813,,PCNX4,False,NK,0,TP1M,DRVI_leiden,16,3
PDHA1,9.975405296003922,0.8360150402296547,0.30975978278101474,2.69891408343567,0.0069566133445405475,0.9992189175897813,,PDHA1,False,NK,0,TP1M,DRVI_leiden,16,3
BRAF,24.457567315259695,0.6319982064399124,0.2357165450369966,2.681178813055817,0.007336330270307496,0.9992189175897813,,BRAF,False,NK,0,TP1M,DRVI_leiden,16,3
ATOX1,17.17762703120885,-0.8201743150469366,0.30769453478334646,-2.6655472305494046,0.0076863134064123545,0.9992189175897813,,ATOX1,False,NK,0,TP1M,DRVI_leiden,16,3
CFAP97,21.53197220435916,-0.7365556014974629,0.2782930272386276,-2.6466908237190196,0.008128363065339572,0.9992189175897813,,CFAP97,False,NK,0,TP1M,DRVI_leiden,16,3
KRCC1,10.103829175648329,0.8382097512829831,0.3222892991752223,2.6007991994399573,0.009300687588168087,0.9992189175897813,,KRCC1,False,NK,0,TP1M,DRVI_leiden,16,3
RER1,26.679234383896954,-0.7189988994369617,0.2780942424030423,-2.5854505049224135,0.009725183462792239,0.9992189175897813,,RER1,False,NK,0,TP1M,DRVI_leiden,16,3
ILF3,25.187039451102947,-0.645516695273876,0.2512097392176466,-2.5696324405424593,0.010180646854295738,0.9992189175897813,,ILF3,False,NK,0,TP1M,DRVI_leiden,16,3
JUNB,298.6674561899565,-0.4744588013308895,0.1852913044943486,-2.5606101841943723,0.010448852395160834,0.9992189175897813,,JUNB,False,NK,0,TP1M,DRVI_leiden,16,3
CTDSP1,22.754552711807086,-0.6946743056121034,0.2716961892920925,-2.5568054797606297,0.010563827163349743,0.9992189175897813,,CTDSP1,False,NK,0,TP1M,DRVI_leiden,16,3
AXIN1,15.492059192793187,-0.8618080925333258,0.34366498448883825,-2.5076982859198336,0.012152037936579475,0.9992189175897813,,AXIN1,False,NK,0,TP1M,DRVI_leiden,16,3
REXO2,15.214209528423108,-0.8075659862188409,0.32266006637832534,-2.5028383440297,0.012320180285394472,0.9992189175897813,,REXO2,False,NK,0,TP1M,DRVI_leiden,16,3
SLC25A6,106.50039973181254,-0.4367844373466558,0.17476649879910564,-2.4992457956644207,0.012445795431473821,0.9992189175897813,,SLC25A6,False,NK,0,TP1M,DRVI_leiden,16,3
BST2,46.78314299129778,-0.5609089156427234,0.22451496692265505,-2.4983141361616013,0.012478555999098433,0.9992189175897813,,BST2,False,NK,0,TP1M,DRVI_leiden,16,3
BBC3,14.004101217943358,0.8971053612205979,0.359267090321965,2.4970429671602745,0.012523378136504122,0.9992189175897813,,BBC3,False,NK,0,TP1M,DRVI_leiden,16,3
SUPT5H,27.20519612542223,0.5121401425022866,0.20631809450724556,2.4822841822257184,0.013054311883094279,0.9992189175897813,,SUPT5H,False,NK,0,TP1M,DRVI_leiden,16,3
MEF2A,7.859679498391816,-1.2000223073221299,0.49042800458760827,-2.4468878124755666,0.014409568342783593,0.9992189175897813,,MEF2A,False,NK,0,TP1M,DRVI_leiden,16,3
GTF2I,43.11592949312838,0.47025181256944176,0.19242532693455086,2.4438145438588097,0.014532894975357223,0.9992189175897813,,GTF2I,False,NK,0,TP1M,DRVI_leiden,16,3
ZCCHC17,25.84794829507654,0.5323998063931817,0.21941137175076048,2.4264913989871015,0.015245611693753311,0.9992189175897813,,ZCCHC17,False,NK,0,TP1M,DRVI_leiden,16,3
DAZAP1,19.635043799406407,-0.7560812578797499,0.31227177228502967,-2.4212283177155958,0.015468158600191356,0.9992189175897813,,DAZAP1,False,NK,0,TP1M,DRVI_leiden,16,3
CHD9,32.14677618915086,-0.5282302537789898,0.22283025708064097,-2.3705499455032553,0.017761643987406997,0.9992189175897813,,CHD9,False,NK,0,TP1M,DRVI_leiden,16,3
RABGEF1,5.100275745841175,1.0220150786062572,0.43275320634642866,2.3616580157423743,0.018193416625454584,0.9992189175897813,,RABGEF1,False,NK,0,TP1M,DRVI_leiden,16,3
DUSP22,10.26929975104503,0.7894599025081881,0.33617145515185526,2.34838470194197,0.018855035741118287,0.9992189175897813,,DUSP22,False,NK,0,TP1M,DRVI_leiden,16,3
CEBPD,40.3397604165231,0.6160540524737323,0.26279413449497113,2.3442458244269577,0.019065600680102074,0.9992189175897813,,CEBPD,False,NK,0,TP1M,DRVI_leiden,16,3
MSI2,16.642949879019206,0.6226352697004105,0.26570990461083754,2.34328965121692,0.019114537216974207,0.9992189175897813,,MSI2,False,NK,0,TP1M,DRVI_leiden,16,3
ZCCHC3,7.404700094279106,0.8123601912836521,0.3468812098196275,2.3418973651125867,0.019185990167041263,0.9992189175897813,,ZCCHC3,False,NK,0,TP1M,DRVI_leiden,16,3
WDR73,8.46497489113322,0.8037039113877722,0.3431853417104361,2.34189463740529,0.01918613038343857,0.9992189175897813,,WDR73,False,NK,0,TP1M,DRVI_leiden,16,3
SIN3A,14.598258928021888,0.6133923325961019,0.26201227580343056,2.3410824195744446,0.019227921887837025,0.9992189175897813,,SIN3A,False,NK,0,TP1M,DRVI_leiden,16,3
TNRC6A,16.86729048944985,-0.710859299081534,0.304259529837914,-2.336358369646548,0.0194725717385743,0.9992189175897813,,TNRC6A,False,NK,0,TP1M,DRVI_leiden,16,3
UBE2V1,7.321937114903072,-1.2663924977499577,0.5440750025761483,-2.3276064729195394,0.019933009425125655,0.9992189175897813,,UBE2V1,False,NK,0,TP1M,DRVI_leiden,16,3
LSM1,31.094778527287872,-0.5521474269062026,0.23803716728178795,-2.3195849337787298,0.02036334165605012,0.9992189175897813,,LSM1,False,NK,0,TP1M,DRVI_leiden,16,3
