variable,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,gene,significant,cell_type,cluster_id,timepoint,grouping,n_sterile,n_infection
RNASE2,46.11951281583117,1.209573328824887,0.25198285398181636,4.800220767847056,1.58490817541861e-06,,,RNASE2,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
S100A8,6741.618258270619,0.7995366141591905,0.16702924266661226,4.786806198690926,1.6945632327316538e-06,0.001443767874287369,,S100A8,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
GLRX,117.12039394266218,0.5683398234124074,0.1323441743449965,4.29440756440742,1.7516044023188828e-05,0.005949033237887731,,GLRX,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
MARCKS,158.70358451024788,-1.2619537147323343,0.29661297037257167,-4.254546634111147,2.09473001334075e-05,0.005949033237887731,,MARCKS,True,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
ROGDI,21.344090711458122,1.0055088020123235,0.23823898102222102,4.220588913275018,2.436649260635152e-05,,,ROGDI,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
S100A12,944.6238726260757,0.9065400270487346,0.21966689931159583,4.126884978527486,3.677101924403539e-05,0.006955533669162951,,S100A12,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
RBM3,170.64271267294282,-0.6259645072652168,0.15257025540728816,-4.102795171930445,4.0818859560815437e-05,0.006955533669162951,,RBM3,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
S100A9,13592.162563285483,0.6698102992452155,0.1712824525770636,3.910559950347825,9.208240095447436e-05,0.01307570093553536,,S100A9,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
G0S2,147.0333769836078,-1.614191909499136,0.4337846830791888,-3.7211823572029163,0.00019829217689997495,0.024134990674111238,,G0S2,True,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
VAMP2,36.68446853478466,-0.7199827125461064,0.20354592055693757,-3.537200404587361,0.00040439269196130374,,,VAMP2,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
CYB5D2,6.091862171830972,1.305452854927157,0.3711585441549394,3.517237782844084,0.00043606295719931685,,,CYB5D2,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
FTH1,4985.09721360588,-0.3749854433899001,0.10678217517896478,-3.5116857543071403,0.0004452741661580474,0.044689065549645905,,FTH1,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
GNG11,12.831024787341276,-1.4599119350311032,0.4164797946124476,-3.505360773599147,0.0004559889238628711,,,GNG11,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
PLBD1,152.85354304883847,0.8520804042698491,0.2437213820209924,3.4961249489240833,0.00047206759383428774,0.044689065549645905,,PLBD1,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
TUBB1,13.971275193313689,-1.467564322840621,0.42226868393385464,-3.475427799117835,0.0005100392683867061,,,TUBB1,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
KLF6,743.0510705560822,-0.5323697311516837,0.15765211680210267,-3.3768638312668906,0.0007331733636165885,0.06029601761624469,,KLF6,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
GRN,254.2516490872531,0.3565998242036765,0.10612020258903195,3.3603387055777527,0.000778469711007854,0.06029601761624469,,GRN,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
PLA2G16,7.434893232081944,1.2389150118478311,0.37171556081233786,3.332965155239499,0.0008592570302145173,,,PLA2G16,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
DSE,65.40423726159321,0.6065790154993029,0.18225872822554046,3.3281205317567957,0.0008743402900652264,,,DSE,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
MARCO,26.782569783141703,1.2088333959537871,0.36691600270838126,3.2945780152155093,0.000985695790132372,,,MARCO,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
GZF1,27.41418655732839,0.7706692969368788,0.2350617201120691,3.2785827338005142,0.0010432977676914817,,,GZF1,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
IGF2R,28.417519602877185,0.6495117760745924,0.20058965792956404,3.2380122822815967,0.001203656275066886,,,IGF2R,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
AHR,89.80475098491127,-0.7142847243668276,0.22397726279942493,-3.1890948011382765,0.0014271906522075192,0.10133053630673386,,AHR,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
ADAM9,16.28045016883432,0.7971825307497993,0.2518892339823763,3.1648138276746476,0.0015518221022766902,,,ADAM9,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
REC8,5.990867925126514,-1.377554663201856,0.43630483406414283,-3.157321568890379,0.0015922564974062872,,,REC8,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
ICAM4,8.597632550340053,0.9825095566145253,0.31341009748538934,3.134900772175435,0.001719122507656315,,,ICAM4,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
SGK1,211.21837055945343,-0.6517387459029409,0.20807976531384811,-3.132158213077177,0.0017352633784131532,0.11372649218523126,,SGK1,False,Monocytes - CD14,0,TP3M,Harmony_leiden,13,5
